id_municipio;ano;despesa_corrente_total;elemento_39
5215504;2023;345886157,29999995;20017519,9
5218607;2023;204219566,75;12349461,38
4200754;2023;94146041,61;4638109,3
4203402;2023;160185179,70000002;7380377,82
4204103;2023;117888926,68;6539868,92
4204251;2023;372920136,02000004;13015464,43
4204806;2023;611783569,85;22623097,64
4212502;2023;737873676,7299999;39893569,67
4214904;2023;128551355,94;5253032,28
4215406;2023;154289592,35000002;10570104,12
4217154;2023;86949363,17999999;4535318,34
4218756;2023;136708189,40999997;5845163,25
4219309;2023;1113276387,6399999;47986737,95
2900207;2023;297062332,15000004;20735284,71
2902807;2023;331493464,27000004;20476556,27
2904308;2023;242223052,39999998;14126155,29
2905156;2023;211251541,44000003;12896309,59
2906824;2023;305530405,75;20528987,1
2909000;2023;149999058,94;8949104,1
2909505;2023;115785554,44;9440675,31
2909901;2023;586436308,27;42443324,11
2912103;2023;315566787,58;12491672,76
2912608;2023;101931075,65;6272776,87
2914406;2023;392682490,63;29170755,45
2915809;2023;389681234,22;9512110,56
2919108;2023;154371986,08999997;4342153,58
2919900;2023;170721046,82;11406509,73
2922102;2023;315939193,28000003;18542795,64
2922409;2023;324766878,96;19671023,94
2923407;2023;288348157,79999995;11097768,34
2924405;2023;580673254,62;33057315,03
2925501;2023;596024488,9999999;39947836,15
4102307;2023;275258340,51;10304430,06
4102703;2023;97693457,26999998;4314006,97
4103107;2023;214960131,65;7621954,3
4104709;2023;213452807,90999997;19841085,66
4104808;2023;5747825326,149999;179834520,73
4105706;2023;305142406,95;16291300,87
4106407;2023;815917621,24;47900656,89
4107306;2023;122969051,91000001;5774779,42
4109906;2023;166706334,83;0,0
4111308;2023;104034213,66;4040096,32
4113304;2023;589648226,46;19129903,89
4114005;2023;330148092,64000005;19944688,51
4115408;2023;308143555,12;18193979,5
4115705;2023;1005713496,23;33776849,3
4115739;2023;139668539,53;4483597,15
4117214;2023;96631149,49000001;4595882,01
4117297;2023;104960465,99;4396879,17
4123303;2023;156551077,19;5713395,42
4124707;2023;200022218,12000003;8889332,37
4125407;2023;135789463,95;7592129,73
4125506;2023;6264781113,190001;189488337,26
4127106;2023;1344980569,6800003;57277989,65
4127304;2023;377773241,0400001;9214965,55
4300406;2023;1308273447,18;30173604,98
4300471;2023;99627850,66;5162384,9
4300638;2023;113726340,41;6014898,45
4301800;2023;131714389,36000003;6997030,89
4302220;2023;128477678,81999998;6680422,73
4303004;2023;1732043443,5300002;91763888,95
4304713;2023;142363518,12;6721838,22
4305603;2023;129372738,79;4695453,14
4306304;2023;116910954,38;6226679,61
4306452;2023;117421284,35999998;6372064,1
4306601;2023;736393907,5499998;26460424,67
4306700;2023;94709912,17;3662117,73
