id_municipio,ano,funcao,despesa_total,elemento_34,elemento_36,elemento_39,terceirizacao_total
5107792,2020,Outros,236293236.23118266,0,266579.3429098931,7600314.136503079,7866893.479412972
5101407,2020,Outros,561885205.6076128,2005928.2121742687,271067.9968557387,20378874.716782693,22655870.9258127
5100805,2020,Outros,289738226.9840466,1774896.289732124,252150.0501390571,6904434.548974916,8931480.888846098
5103304,2020,Outros,517621442.6988056,0,445260.81032964523,17291588.617805783,17736849.42813543
3204252,2020,Outros,180624708.2964648,0,265431.46958279464,4811857.533221379,5077289.002804174
3203163,2020,Outros,229788040.4954085,0,456452.23936139006,4321727.366392096,4778179.605753486
3202207,2020,Outros,468419324.7247133,0,1229713.7186637025,16165185.397750078,17394899.11641378
3204054,2020,Outros,469647951.0463132,0,651251.8130938887,6258385.916684299,6909637.729778186
3203320,2020,Outros,2388933777.2051215,0,5225529.037026226,67540718.52172033,72766247.55874656
2403202,2020,Outros,168106959.63126668,0,833874.0564635578,3537481.77756191,4371355.834025468
2414902,2020,Outros,79535056.92333621,0,749687.2220558921,2236270.91709457,2985958.139150462
2401800,2020,Outros,220627692.58189714,0,276348.48805417144,5543419.472662323,5819767.960716494
2404705,2020,Outros,264545843.15455118,0,352893.53097534174,14965986.15923833,15318879.690213673
1503077,2020,Outros,452437576.33972967,0,3509716.4803841743,10388840.311388714,13898556.791772889
1503507,2020,Outros,407650908.19129527,0,19573318.486519244,4933131.484563009,24506449.971082255
1500701,2020,Outros,500188869.0537369,0,4257498.822880661,5387551.406240348,9645050.229121009
1504901,2020,Outros,510272163.80016077,0,3254031.9472943745,7438079.215380333,10692111.162674708
2301851,2020,Outros,355930246.17953193,0,2981682.41177926,12629810.17342212,15611492.58520138
2312403,2020,Outros,2104961238.4234588,0,3363385.3824501513,124342500.21210614,127705885.59455626
2305605,2020,Outros,351576756.28171897,0,2757594.911085967,10900243.87268113,13657838.783767097
2311207,2020,Outros,202043472.59372026,1300.9437752736255,334810.34014973807,8490136.591611737,8826247.87553675
2313807,2020,Outros,365571398.4350659,0,523472.3677048167,13404622.627929782,13928094.995634599
2311603,2020,Outros,551222961.7605989,2167257.3975745495,688653.1456228952,12779890.735084878,15635801.278282324
2306801,2020,Outros,266927303.66557506,0,561473.8764382438,7725986.460199413,8287460.336637656
2301406,2020,Outros,220037631.15848342,0,514002.05100975255,4364392.265551075,4878394.316560828
2300507,2020,Outros,221953808.57790914,1497442.1880939312,315110.9176338316,9281771.175721511,11094324.281449275
2304301,2020,Outros,376918263.77586365,0,1046511.9832377838,10956869.318662206,12003381.301899988
2502409,2020,Outros,205189779.86948156,0,1754593.0477077467,2147079.9528960437,3901673.000603791
2509404,2020,Outros,227152629.54774714,0,2015801.2819205995,5243782.843005324,7259584.1249259235
2508604,2020,Outros,305713312.4377374,0,2964195.7150954735,4993055.645212521,7957251.360307993
2501575,2020,Outros,166365179.8513518,0,1390106.9883476854,2771650.3776061325,4161757.365953818
2512507,2020,Outros,790874420.7219561,0,1614535.4738771264,15313595.245642759,16928130.719519883
2206209,2020,Outros,697219363.2271032,0,12459882.196165819,13604970.320674181,26064852.51684
2203255,2020,Outros,109465487.78829223,0,4220894.353296708,2180898.3542821514,6401792.70757886
2201507,2020,Outros,386787791.2746139,0,5373913.227229096,10745997.373710353,16119910.60093945
2201903,2020,Outros,691827442.530343,0,9301522.599296998,28182775.02990612,37484297.62920312
2206753,2020,Outros,120078482.74310881,0,3921632.8289226526,1961437.8755715003,5883070.704494153
2202208,2020,Outros,1050595856.9308072,536901.9481799242,8011765.744143367,32522273.813317664,41070941.505640954
2209500,2020,Outros,104882722.59612846,0,2178996.5624875263,4847811.169171194,7026807.73165872
2211407,2020,Outros,105301897.71120602,0,2174070.492423866,2531785.7941947957,4705856.286618662
2205151,2020,Outros,122315593.36426981,0,4163142.8162957286,2976275.102593041,7139417.91888877
2207751,2020,Outros,117134143.95237206,0,6190497.751771662,3154806.044709646,9345303.796481308
5206701,2020,Outros,109382003.34931463,0,856616.1804810357,3967679.554008773,4824295.734489809
5211800,2020,Outros,314548807.48405594,914701.8678931902,523915.5330081002,11535723.62874944,12974341.029650731
5201603,2020,Outros,120205618.30556436,203590.93100293854,819944.9686675696,3573783.219853328,4597319.119523836
5208509,2020,Outros,164674951.4025985,565519.0808514118,695444.9103481453,4080295.102838755,5341259.094038312
5221007,2020,Outros,131362764.272542,1313056.7535177548,91541.94179178058,2782245.402932686,4186844.0982422214
5219100,2020,Outros,148625672.51663613,659773.9405306418,2794086.541600511,4077992.2375301905,7531852.719661344
5210562,2020,Outros,126027746.58468555,2123516.560964184,91880.27812675781,2768182.649804421,4983579.488895362
5219456,2020,Outros,125327990.17282113,710961.0704825178,909931.0129176781,4711451.691066104,6332343.7744663
2102150,2020,Outros,185492120.0021618,0,395948.8192069503,11739446.53262781,12135395.35183476
2111722,2020,Outros,237422170.87573823,0,1288612.521774439,12251262.174863422,13539874.696637861
2111631,2020,Outros,148371795.8892043,0,1637264.975525608,5174136.4350615395,6811401.410587148
2102309,2020,Outros,379669960.6298757,0,869192.94357903,13357600.905585691,14226793.84916472
2100956,2020,Outros,466233714.5576523,0,631286.4035432903,11462449.355579475,12093735.759122765
2108405,2020,Outros,231845639.2083777,0,4827964.30911692,7254437.828760003,12082402.137876922
2110278,2020,Outros,288294847.1129369,0,4562273.841958622,11946302.755506359,16508576.59746498
2112704,2020,Outros,883227245.9004974,0,903981.2131744985,22294731.564210586,23198712.777385086
2104651,2020,Outros,215750198.34230992,0,4180764.237712261,5156278.405594038,9337042.643306298
2112308,2020,Outros,760460647.1656163,9689.638431071931,1818559.7255107022,24845181.501192763,26673430.865134533
2102606,2020,Outros,318725546.8526762,0,1758600.9405531962,7990573.78140161,9749174.721954808
2615409,2020,Outros,665833112.8427831,0,3244196.38290853,10760119.582460033,14004315.965368563
2600054,2020,Outros,1149388914.6849034,0,5238948.514438329,40870083.75032954,46109032.26476788
2606804,2020,Outros,1691758678.9853091,0,4302213.196843473,42067230.800938696,46369443.99778217
2608008,2020,Outros,360407017.79928666,3742464.5799071593,4551566.507262894,6756776.241885712,15050807.329055764
2606903,2020,Outros,250024556.8789335,0,5302165.343421899,7898111.491912611,13200276.835334508
2600104,2020,Outros,611594713.7722764,0,16877663.01292272,18566335.25406584,35443998.26698856
2614303,2020,Outros,254282738.09783044,0,3174917.7161224824,3534270.838098139,6709188.5542206215
2916856,2020,Outros,348346128.41578114,5222513.9962124955,192735.46111487586,12108453.854796916,17523703.31212429
2913101,2020,Outros,329875234.62743634,0,2616969.098099195,14520527.783640834,17137496.88174003
2922102,2020,Outros,351988119.4035811,0,3665710.1503592525,11854683.968422059,15520394.118781311
2907103,2020,Outros,461613318.2722532,0,1245814.5903395596,25382438.994505513,26628253.584845077
2933604,2020,Outros,818656740.4239358,2473437.7501324816,923457.9161211874,44792162.69020557,48189058.35645924
2909406,2020,Outros,275328071.23619246,0,4918760.122910473,6651619.931754185,11570380.054664657
2914802,2020,Outros,3933835954.679166,0,2832012.3807175504,164274947.85729373,167106960.23801127
2926905,2020,Outros,186444226.04487795,0,6559572.565502321,3186896.5639316896,9746469.12943401
2910107,2020,Outros,236394378.2016293,0,953646.1784459606,6948113.5786116095,7901759.75705757
2913804,2020,Outros,292680317.99829906,1804045.4869096205,414874.27216353646,11897190.500130523,14116110.259203682
2919504,2020,Outros,690917471.9320225,0,579367.8996826371,16824073.757006194,17403441.65668883
3545159,2020,Outros,198028975.0064867,0,353918.6172042417,7989859.215785632,8343777.832989873
3543501,2020,Outros,129839799.51222304,0,778278.1022669903,3802247.9178114734,4580526.020078464
3548302,2020,Outros,90199074.43928553,0,100041.64094544525,2337525.5974154426,2437567.238360888
3554607,2020,Outros,120185848.7946638,0,24191.681007248415,3866485.569583033,3890677.250590282
3546801,2020,Outros,1045168956.587633,0,2412538.6309835524,43061305.47123519,45473844.10221875
3529005,2020,Outros,6746869189.6730385,0,5755560.075514195,376439435.66789806,382194995.7434122
3500907,2020,Outros,177246689.01483867,0,156847.7017868745,4075576.8561401647,4232424.557927039
3541901,2020,Outros,332754239.2998361,0,875758.2937529407,11594549.074837495,12470307.368590435
3548203,2020,Outros,193585384.86880487,57420.79734253226,342188.7026660875,5141125.723176491,5540735.223185112
3556503,2020,Outros,1902322145.0344126,0,4571467.603453346,62678556.42957394,67250024.03302728
3526605,2020,Outros,194528888.0887754,0,735395.5221507772,3864672.8966229376,4600068.418773714
3520806,2020,Outros,107980229.41615911,0,271446.3061791236,2020668.826568136,2292115.13274726
3541802,2020,Outros,168893639.1539146,0,256134.63617420042,5116005.9298417615,5372140.566015962
3509304,2020,Outros,238915183.34872702,0,639915.2720370002,10799162.817761425,11439078.089798424
3503703,2020,Outros,256852811.23217294,0,2910965.4925816106,7635775.861808543,10546741.354390154
3530805,2020,Outros,2879124991.921802,17846797.975044608,1289279.130139943,117672989.74537739,136809066.85056195
3541505,2020,Outros,863480597.3917493,0,2480566.05537972,24858865.880400054,27339431.935779773
3541307,2020,Outros,679309654.4993739,0,1478787.0631300542,21942432.098507695,23421219.161637746
3527900,2020,Outros,125680692.7791608,0,66148.68102148971,3226826.3365519354,3292975.017573425
3519055,2020,Outros,572858652.3602078,0,924154.7690781143,19710424.092622563,20634578.86170068
3517406,2020,Outros,1275297133.8820343,1223368.362040731,5219041.010166995,34099217.701845065,40541627.074052796
3500402,2020,Outros,232388335.1469148,0,1015929.9598462075,8073427.411997786,9089357.371843994
4210852,2020,Outros,125652639.45425084,46749.70189453601,134270.96051813808,3427812.4343542443,3608833.0967669184
4217402,2020,Outros,468402441.0594475,0,28350.59009752566,11340575.718975104,11368926.309072629
4211603,2020,Outros,364515287.44381523,0,655245.0422865126,9896722.218338912,10551967.260625426
4216206,2020,Outros,1679359767.6116173,0,1931964.3984945104,76364508.03263098,78296472.43112549
4211009,2020,Outros,282192501.13102126,0,311573.4502744517,13091640.769330097,13403214.219604548
4206603,2020,Outros,150014621.81282312,172298.41164352457,136491.01171691154,4689163.313437076,4997952.7367975125
4203006,2020,Outros,1545751967.5368025,0,3020526.725263422,32566236.956072673,35586763.68133609
